,lon,lat,z
0,-48.383747,-0.116224654,8.656944
1,-48.384926,-0.11654868,8.732905
2,-48.38731,-0.11632513,8.799372
3,-48.39075,-0.1156326,8.858223
4,-48.394245,-0.11474237,8.907994
5,-48.39692,-0.11387975,8.947251
6,-48.398865,-0.11303466,8.977263
7,-48.400135,-0.11219721,8.998952
8,-48.4009,-0.11143566,9.017295
9,-48.401295,-0.11082381,9.036694
10,-48.401333,-0.11035827,9.056971
11,-48.401035,-0.1100333,9.0779505
12,-48.40068,-0.10981429,9.099975
13,-48.400528,-0.10966825,9.123292
14,-48.40055,-0.10958973,9.147592
15,-48.40074,-0.10957249,9.172554
16,-48.401104,-0.10960423,9.19763
17,-48.40165,-0.10967348,9.222351
18,-48.402348,-0.109774694,9.2465515
19,-48.403168,-0.10990257,9.27009
20,-48.40398,-0.11003347,9.292071
21,-48.40467,-0.1101486,9.311874
22,-48.405254,-0.110249795,9.32975
23,-48.40575,-0.110338695,9.345912
24,-48.40614,-0.11042406,9.360871
25,-48.40644,-0.11051294,9.375035
26,-48.40666,-0.110604405,9.388429
27,-48.406796,-0.11069758,9.401079
28,-48.406864,-0.11077099,9.412608
29,-48.406933,-0.11080729,9.42275
30,-48.407,-0.11081108,9.431681
31,-48.40707,-0.11078609,9.439544
32,-48.407104,-0.110769495,9.446804
33,-48.407104,-0.110793285,9.453827
34,-48.407104,-0.110852934,9.460605
35,-48.407104,-0.1109441,9.46713
36,-48.407055,-0.11104994,9.473035
37,-48.406948,-0.11115651,9.478043
38,-48.4068,-0.11126405,9.482257
39,-48.406593,-0.11137287,9.485768
40,-48.40642,-0.11145995,9.489252
41,-48.406353,-0.11150404,9.493283
42,-48.40638,-0.11150883,9.497767
43,-48.406487,-0.11147856,9.502609
44,-48.406624,-0.11143662,9.507148
45,-48.40676,-0.11140257,9.510878
46,-48.4069,-0.11137536,9.513902
47,-48.407036,-0.11135422,9.516305
48,-48.407173,-0.11133853,9.518396
49,-48.407272,-0.11132792,9.520437
50,-48.40734,-0.11132194,9.5224285
51,-48.40741,-0.11132033,9.524368
52,-48.40748,-0.11132529,9.526291
53,-48.407547,-0.11133876,9.528225
54,-48.407604,-0.11135999,9.530165
55,-47.954426,-0.5686185,8.977035
56,-47.95421,-0.5712717,9.036356
57,-47.954086,-0.5738201,9.088841
58,-47.954018,-0.5761895,9.134765
59,-47.95395,-0.57832813,9.174679
60,-47.95388,-0.58016855,9.209465
61,-47.95381,-0.5816796,9.239306
62,-47.95371,-0.5828893,9.264125
63,-47.953564,-0.5838736,9.284607
64,-47.95354,-0.58471936,9.301783
65,-47.95375,-0.585341,9.314734
66,-47.954193,-0.58575237,9.32389
67,-47.954865,-0.58595794,9.329482
68,-47.955593,-0.58604336,9.33409
69,-47.956215,-0.58609444,9.340199
70,-47.95672,-0.58611137,9.347725
71,-47.9571,-0.5860948,9.35654
72,-47.95736,-0.58609337,9.366577
73,-47.957497,-0.58615255,9.377745
74,-47.957527,-0.586269,9.389822
75,-47.957455,-0.58643883,9.402587
76,-47.957355,-0.58667636,9.415632
77,-47.957287,-0.5869948,9.428667
78,-47.95723,-0.58738965,9.441627
79,-47.95723,-0.58785766,9.454473
80,-47.95727,-0.5883868,9.467083
81,-47.9574,-0.58896923,9.479438
82,-47.957626,-0.589611,9.491669
83,-47.95794,-0.5903201,9.503913
84,-47.958298,-0.59108126,9.516073
85,-47.95871,-0.5918805,9.528008
86,-47.959152,-0.5927296,9.539789
87,-47.959656,-0.5936426,9.551501
88,-47.96023,-0.59463865,9.563139
89,-47.960888,-0.5957379,9.574735
90,-47.961636,-0.59697586,9.587097
91,-47.962494,-0.5983884,9.600794
92,-47.96342,-0.6000011,9.616069
93,-47.964382,-0.60184246,9.633198
94,-47.965343,-0.6039497,9.652455
95,-47.96625,-0.6063648,9.674157
96,-47.967205,-0.6090814,9.698653
97,-47.96827,-0.61208254,9.726339
98,-47.96946,-0.61539865,9.757652
99,-47.97078,-0.61906546,9.793095
100,-47.97206,-0.62305164,9.830984
101,-47.994343,-0.71991557,10.814149
102,-47.994762,-0.72461635,10.866206
103,-49.487236,0.9662495,11.457326
104,-49.486412,0.96965617,11.542353
105,-49.485657,0.9729319,11.6275
106,-49.4849,0.9760013,11.71029
107,-49.484146,0.97886103,11.788986
108,-49.48339,0.9815058,11.862299
109,-49.482685,0.98385483,11.930213
110,-49.482098,0.9858637,11.994484
111,-49.481606,0.9875796,12.056401
112,-49.481205,0.9890444,12.116852
113,-49.48086,0.9903278,12.169634
114,-49.480587,0.9914796,12.208537
115,-49.480343,0.9925089,12.23488
116,-49.480137,0.9934251,12.250524
117,-49.47995,0.994252,12.263581
118,-49.479813,0.99500704,12.28003
119,-49.479675,0.9956911,12.298813
120,-49.479546,0.99630594,12.319035
121,-49.479465,0.9968408,12.337979
122,-49.479336,0.9972932,12.353812
123,-49.479267,0.9976764,12.367041
124,-49.4792,0.9980017,12.378096
125,-49.47913,0.99827844,12.387366
126,-49.47906,0.99851465,12.395174
127,-49.478992,0.99871624,12.401754
128,-48.51941,-0.03813586,8.636157
129,-48.513916,-0.03954608,8.653365
130,-48.50966,-0.04091101,8.66407
131,-48.506496,-0.042251293,8.670973
132,-48.504364,-0.04358358,8.67593
133,-48.503548,-0.044595424,8.67873
134,-48.504383,-0.044958487,8.678626
135,-48.506927,-0.044655822,8.674863
136,-48.51129,-0.04365627,8.664727
137,-48.516273,-0.042313363,8.648167
138,-49.691944,0.89027154,13.370788
139,-49.692963,0.893756,13.70473
140,-49.694164,0.89670694,13.986418
141,-49.69535,0.89914745,14.2165365
142,-49.696457,0.9011186,14.400384
143,-49.697487,0.902712,14.550475
144,-49.698452,0.904,14.675444
145,-49.699306,0.90501344,14.781767
146,-49.700005,0.90577036,14.874473
147,-49.70056,0.90630436,14.957097
148,-49.700996,0.9066385,15.0323305
149,-49.70134,0.90693855,15.096944
150,-49.701683,0.9073514,15.14712
151,-49.702026,0.9078611,15.184275
152,-49.70237,0.9084489,15.209894
153,-49.702614,0.9090988,15.227906
154,-49.70274,0.909794,15.2416
155,-49.70277,0.91051304,15.251542
156,-49.70272,0.91123545,15.258302
157,-49.702652,0.9118984,15.262647
158,-49.702583,0.91246384,15.2652645
159,-49.702515,0.91294754,15.266515
160,-49.702446,0.91336256,15.266685
161,-49.702377,0.91370106,15.265593
162,-49.702374,0.91396034,15.263105
163,-49.702374,0.9141554,15.259431
164,-49.7024,0.91429734,15.25469
165,-49.70247,0.91440773,15.24973
166,-49.702538,0.9145038,15.245308
167,-49.702606,0.91458696,15.241368
168,-49.702675,0.91465855,15.237868
169,-49.702744,0.9147302,15.2353115
170,-49.702763,0.91481173,15.234163
171,-49.702763,0.91490185,15.234317
172,-49.702763,0.91499895,15.235651
173,-49.702763,0.9150987,15.237559
174,-49.702763,0.91519827,15.239512
175,-49.702763,0.91529655,15.2414875
176,-49.702763,0.91539305,15.243472
177,-49.702763,0.9154868,15.245404
178,-49.702763,0.9155772,15.247239
179,-49.702763,0.9156637,15.248976
180,-49.702763,0.9157464,15.250614
181,-49.702763,0.9158256,15.252193
182,-49.702763,0.91590154,15.253752
183,-49.702763,0.91597396,15.255272
184,-49.702763,0.91604245,15.256741
185,-49.702763,0.91610557,15.258085
186,-49.702763,0.91616255,15.259254
187,-49.702763,0.9162139,15.26027
188,-49.702763,0.9162603,15.261152
