/* DATA DESCRIPTION:
Citation:	Horstmann, Jochen; Carrasco, Ruben; Calil, Paulo H R; Iudicone, Daniele; Pesant, Stephane; Erta, J M (2022): Track of Lagrangian drifter 73 during the Mission Microbiomes with the RV Tara along the eastern coast of Brazil [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.948251, 
	In: Horstmann, J et al. (2022): Drifter position data from the eastern coast of Brazil during the project Mission Microbiomes with the RV Tara [dataset publication series]. PANGAEA, https://doi.org/10.1594/PANGAEA.948261
Project(s):	Atlantic ECOsystems assessment, forecasting & sustainability (AtlantECO) (URI: https://doi.org/10.3030/862923)
	Fondation Tara Expeditions (FondTara) (URI: https://fondationtaraocean.org/en/home/)
	Mission Microbiomes (MM2020) (URI: https://fondationtaraocean.org/expedition/mission-microbiomes/)
Funding:	Horizon 2020 of the European Commission (H2020) (URI: https://research-and-innovation.ec.europa.eu/funding/funding-opportunities/funding-programmes-and-open-calls/horizon-2020_en), grant/award no. 862923: Atlantic ECOsystems assessment, forecasting & sustainability (URI: https://doi.org/10.3030/862923)
Coverage:	MEDIAN LATITUDE: 6.907522 * MEDIAN LONGITUDE: -55.818189 * SOUTH-BOUND LATITUDE: 0.734600 * WEST-BOUND LONGITUDE: -61.851760 * NORTH-BOUND LATITUDE: 10.132280 * EAST-BOUND LONGITUDE: -48.014740
	DATE/TIME START: 2021-09-15T12:02:39 * DATE/TIME END: 2021-12-02T12:52:52
	MINIMUM DEPTH, water: 0 m * MAXIMUM DEPTH, water: 0 m
Event(s):	TARA_Microbiomes_DRIFT-73 * LATITUDE START: 1.109640 * LONGITUDE START: -48.064270 * LATITUDE END: 10.070040 * LONGITUDE END: -61.850770 * DATE/TIME START: 2021-09-15T12:02:39 * DATE/TIME END: 2021-12-02T12:52:52 * LOCATION: Eastern Brazilian coast * CAMPAIGN: MM20210911_LEG-06_041-042_Macapa * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Drifter (DRIFT)
Parameter(s):	LATITUDE (Latitude) * GEOCODE * PI: Horstmann, Jochen (https://orcid.org/0000-0002-7979-5736, jochen.horstmann@hereon.de, https://www.hzg.de/institutes_platforms/coastal_research/operational_systems/radar_hydrography/staff/046556/index.php.en) * METHOD/DEVICE: GPS receiver mounted on Lagrangian drifter
	LONGITUDE (Longitude) * GEOCODE * PI: Horstmann, Jochen (https://orcid.org/0000-0002-7979-5736, jochen.horstmann@hereon.de, https://www.hzg.de/institutes_platforms/coastal_research/operational_systems/radar_hydrography/staff/046556/index.php.en) * METHOD/DEVICE: GPS receiver mounted on Lagrangian drifter
	DEPTH, water [m] (Depth water) * GEOCODE * PI: Horstmann, Jochen (https://orcid.org/0000-0002-7979-5736, jochen.horstmann@hereon.de, https://www.hzg.de/institutes_platforms/coastal_research/operational_systems/radar_hydrography/staff/046556/index.php.en)
	Identification (ID) * PI: Horstmann, Jochen (https://orcid.org/0000-0002-7979-5736, jochen.horstmann@hereon.de, https://www.hzg.de/institutes_platforms/coastal_research/operational_systems/radar_hydrography/staff/046556/index.php.en) * COMMENT: DrifterID
	DATE/TIME (Date/Time) * GEOCODE * PI: Horstmann, Jochen (https://orcid.org/0000-0002-7979-5736, jochen.horstmann@hereon.de, https://www.hzg.de/institutes_platforms/coastal_research/operational_systems/radar_hydrography/staff/046556/index.php.en) * COMMENT: UTC
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	13935 data points
*/
Latitude	Longitude	Depth water [m]	ID	Date/Time
1.10964	-48.06427	0	73	2021-09-15T12:02:39
1.10963	-48.06427	0	73	2021-09-15T12:22:35
1.10957	-48.06436	0	73	2021-09-15T12:27:32
1.10953	-48.06427	0	73	2021-09-15T12:37:34
1.10947	-48.06427	0	73	2021-09-15T12:42:35
1.10949	-48.06442	0	73	2021-09-15T12:47:34
1.10930	-48.06500	0	73	2021-09-15T12:52:36
1.10905	-48.06564	0	73	2021-09-15T12:57:34
1.10880	-48.06625	0	73	2021-09-15T13:02:34
1.10846	-48.06668	0	73	2021-09-15T13:07:38
1.10812	-48.06711	0	73	2021-09-15T13:12:37
1.10769	-48.06763	0	73	2021-09-15T13:17:55
1.10719	-48.06818	0	73	2021-09-15T13:22:35
1.10666	-48.06870	0	73	2021-09-15T13:27:35
1.10609	-48.06927	0	73	2021-09-15T13:32:38
1.10555	-48.06973	0	73	2021-09-15T13:37:37
1.10504	-48.07022	0	73	2021-09-15T13:42:34
1.10437	-48.07067	0	73	2021-09-15T13:47:33
1.10386	-48.07101	0	73	2021-09-15T13:52:32
1.10312	-48.07144	0	73	2021-09-15T13:57:29
1.10245	-48.07187	0	73	2021-09-15T14:02:29
1.10177	-48.07233	0	73	2021-09-15T14:07:27
1.10103	-48.07281	0	73	2021-09-15T14:12:28
1.10027	-48.07330	0	73	2021-09-15T14:17:56
1.09949	-48.07385	0	73	2021-09-15T14:22:28
1.09871	-48.07440	0	73	2021-09-15T14:27:29
1.09796	-48.07492	0	73	2021-09-15T14:32:26
1.09721	-48.07541	0	73	2021-09-15T14:37:27
1.09647	-48.07593	0	73	2021-09-15T14:42:25
1.09568	-48.07645	0	73	2021-09-15T14:47:26
1.09491	-48.07706	0	73	2021-09-15T14:52:25
1.09412	-48.07761	0	73	2021-09-15T14:57:26
1.09330	-48.07817	0	73	2021-09-15T15:02:24
1.09253	-48.07877	0	73	2021-09-15T15:07:25
1.09169	-48.07938	0	73	2021-09-15T15:12:22
1.09073	-48.08017	0	73	2021-09-15T15:17:58
1.08995	-48.08087	0	73	2021-09-15T15:22:23
1.08909	-48.08167	0	73	2021-09-15T15:27:24
1.08826	-48.08246	0	73	2021-09-15T15:32:22
1.08729	-48.08334	0	73	2021-09-15T15:37:19
1.08637	-48.08423	0	73	2021-09-15T15:42:22
1.08546	-48.08517	0	73	2021-09-15T15:47:20
1.08457	-48.08615	0	73	2021-09-15T15:52:21
1.08367	-48.08710	0	73	2021-09-15T15:57:22
1.08274	-48.08808	0	73	2021-09-15T16:02:19
1.08184	-48.08902	0	73	2021-09-15T16:07:19
1.08093	-48.09003	0	73	2021-09-15T16:12:20
1.07989	-48.09122	0	73	2021-09-15T16:17:53
1.07908	-48.09220	0	73	2021-09-15T16:22:17
1.07910	-48.09216	0	73	2021-09-15T16:22:18
1.07816	-48.09331	0	73	2021-09-15T16:27:16
1.07818	-48.09323	0	73	2021-09-15T16:27:16
1.07726	-48.09434	0	73	2021-09-15T16:32:16
1.07727	-48.09430	0	73	2021-09-15T16:32:17
1.07636	-48.09537	0	73	2021-09-15T16:37:16
1.07544	-48.09650	0	73	2021-09-15T16:42:19
1.07453	-48.09760	0	73	2021-09-15T16:47:18
1.07359	-48.09870	0	73	2021-09-15T16:52:16
1.07273	-48.09982	0	73	2021-09-15T16:57:16
1.07183	-48.10095	0	73	2021-09-15T17:02:18
1.07105	-48.10211	0	73	2021-09-15T17:07:15
1.07036	-48.10328	0	73	2021-09-15T17:12:38
1.06980	-48.10431	0	73	2021-09-15T17:17:38
1.06932	-48.10526	0	73	2021-09-15T17:22:13
1.06885	-48.10626	0	73	2021-09-15T17:27:18
1.06835	-48.10724	0	73	2021-09-15T17:32:15
1.06784	-48.10818	0	73	2021-09-15T17:37:15
1.06733	-48.10916	0	73	2021-09-15T17:42:17
1.06681	-48.11011	0	73	2021-09-15T17:47:15
1.06633	-48.11105	0	73	2021-09-15T17:52:18
1.06586	-48.11191	0	73	2021-09-15T17:57:19
1.06539	-48.11279	0	73	2021-09-15T18:02:16
1.06494	-48.11371	0	73	2021-09-15T18:07:14
1.06449	-48.11459	0	73	2021-09-15T18:12:13
1.06403	-48.11557	0	73	2021-09-15T18:17:38
1.06364	-48.11639	0	73	2021-09-15T18:22:12
1.06324	-48.11731	0	73	2021-09-15T18:27:13
1.06281	-48.11825	0	73	2021-09-15T18:32:14
1.06247	-48.11911	0	73	2021-09-15T18:37:14
1.06211	-48.12000	0	73	2021-09-15T18:42:14
1.06177	-48.12091	0	73	2021-09-15T18:47:13
1.06144	-48.12180	0	73	2021-09-15T18:52:14
1.06115	-48.12268	0	73	2021-09-15T18:57:13
1.06085	-48.12354	0	73	2021-09-15T19:02:15
1.06056	-48.12442	0	73	2021-09-15T19:07:16
1.06028	-48.12534	0	73	2021-09-15T19:12:16
1.06002	-48.12628	0	73	2021-09-15T19:17:34
1.05978	-48.12711	0	73	2021-09-15T19:22:15
1.05956	-48.12796	0	73	2021-09-15T19:27:15
1.05935	-48.12881	0	73	2021-09-15T19:32:19
1.05915	-48.12972	0	73	2021-09-15T19:37:14
1.05898	-48.13049	0	73	2021-09-15T19:42:14
1.05885	-48.13128	0	73	2021-09-15T19:47:12
1.05881	-48.13205	0	73	2021-09-15T19:52:12
1.05881	-48.13281	0	73	2021-09-15T19:57:10
1.05884	-48.13362	0	73	2021-09-15T20:02:13
1.05888	-48.13431	0	73	2021-09-15T20:07:13
1.05897	-48.13498	0	73	2021-09-15T20:12:11
1.05911	-48.13568	0	73	2021-09-15T20:17:39
1.05925	-48.13623	0	73	2021-09-15T20:22:10
1.05943	-48.13685	0	73	2021-09-15T20:27:10
1.05969	-48.13736	0	73	2021-09-15T20:32:10
1.05992	-48.13782	0	73	2021-09-15T20:37:08
1.06016	-48.13824	0	73	2021-09-15T20:42:10
1.06042	-48.13861	0	73	2021-09-15T20:47:11
1.06063	-48.13895	0	73	2021-09-15T20:52:11
1.06086	-48.13928	0	73	2021-09-15T20:57:14
1.06109	-48.13959	0	73	2021-09-15T21:02:13
1.06133	-48.13980	0	73	2021-09-15T21:07:14
1.06152	-48.13934	0	73	2021-09-15T21:12:14
1.06178	-48.13861	0	73	2021-09-15T21:17:35
1.06197	-48.13810	0	73	2021-09-15T21:22:16
