new,n,letter,old,dist,margin,runner_letter,F_pct,F_share
0,3698,CB,47,3.0861419484674575,2.5894356562621437,C,0.0,0.0
1,25006,E1,1,0.11825928334709386,2.606935212118482,E1,0.0,0.0
2,3026,B1,48,4.036810813459828,2.8791764037712095,B1,0.0,0.0
3,2022,BS,3,3.6930289297601533,2.1054492854069426,BS,0.0,0.0
4,5671,B2,46,3.1104669669771345,1.0210658842874158,B2,0.0,0.0
5,24049,E,18,0.8067488892698655,1.9745533536675635,E,0.0,0.0
6,4131,A12,35,4.1474986080348595,0.5548897775296195,A2,0.0,0.0
7,11770,E0,21,0.7742993604586892,2.6089920109845037,E1,0.0,0.0
8,1896,B3,24,2.163997264705395,6.169632174888319,B2,0.0,0.0
9,6081,B2,28,2.5278472225341218,0.8856407112223894,B1,0.0,0.0
10,5835,C,6,2.101520194962277,1.844170025095972,C,0.0,0.0
11,2120,A1,16,2.662140585848832,4.272539093360622,A1,0.0,0.0
12,1585,B1,48,5.876670568123002,2.4817358933262756,B3,0.0,0.0
13,3208,A2,20,2.2690779356714117,5.361372702350022,A2,0.0,0.0
14,2829,C,44,2.6994334067735903,5.420024743257148,C,0.0,0.0
15,2791,C,12,2.7622310925673106,1.5555652413789756,C,0.1,0.1
16,29641,E2,4,0.38727233024974883,0.8896193274173726,E2,0.0,0.0
17,7164,S1,9,1.4484464116835907,2.4068208509354765,S,0.0,0.0
18,4495,B1,34,3.776581760770417,0.21078048864346677,B1,0.0,0.0
19,5294,B2,13,2.5837683591822214,2.6259566841949122,B2,0.0,0.0
20,3913,A2,5,3.9990083436658446,1.4439438341060993,A1,0.0,0.0
21,4063,B1,2,3.9137930783912513,1.9454368085399927,CB,0.0,0.0
22,2640,A3,33,3.8285234463346094,1.3938556125260821,A2,0.0,0.0
23,3530,S,19,2.306922149613888,5.845031713529108,S,0.0,0.0
24,13674,S,15,1.5327286006741199,2.3976490925804104,S1,0.0,0.0
25,16713,S,37,0.540076386479601,4.757282501270124,S,0.0,0.0
26,1658,A2,0,3.1665912454777327,5.28017254860846,A2,0.0,0.0
27,5281,BS,3,4.285835960466419,0.5872540137743139,BS,0.0,0.0
28,3056,A2,39,5.665693342746431,0.6407593960776916,A2,0.0,0.0
29,3549,B2,46,3.2952906315886086,1.4596736307820999,B2,0.0,0.0
30,2490,A2,5,4.579814734134049,2.5889570238650093,A1,0.0,0.0
31,4585,BS,43,2.4451978553199227,3.943365765750272,B2,0.0,0.0
32,1553,F,14,6.622802214429968,1.8999393973545837,F,80.7,26.0
33,1849,BS,17,7.631975235790336,1.0623938364828502,B3,0.0,0.0
34,3585,CB,26,4.260236238497918,1.417861334445516,B2,0.0,0.0
35,6512,B1,10,2.1075089561388904,2.3706518132044807,B2,0.0,0.0
36,5531,S,25,3.3152098166480437,1.0069862237290002,BS,0.0,0.0
37,5504,CB,47,4.395699279834772,1.0804675985319374,B2,0.0,0.0
38,5683,E1,49,2.179007751676041,1.585068645388937,E1,0.0,0.0
39,19029,E1,49,0.44857291336943167,1.9046757190073338,E1,0.0,0.0
40,1918,BS,17,3.864871639318435,4.556351881703124,S,0.0,0.0
41,8776,E,18,2.141845214904374,1.0916491377690591,E,0.0,0.0
42,4098,A2,5,1.7323265130536087,4.0451544761177916,A2,0.0,0.0
43,1716,F,45,3.3258021764263623,8.975083866762722,F,69.3,24.6
44,3568,B1,10,4.606940636908029,0.4145748178199513,B1,0.0,0.0
45,1613,F,14,3.809493693081629,6.826600573284587,C,85.2,28.5
46,3211,CB,26,5.173336412519223,1.3728989026814178,B1,0.0,0.0
47,4350,S1,9,3.2982003951851797,0.6325752817705328,E0,0.0,0.0
48,5058,A2,39,1.8116658158120644,0.9773479110456182,A2,0.0,0.0
49,2747,A1,31,1.4291740259756864,4.849700984137905,A1,0.0,0.0
50,3345,B2,38,4.097962338753248,1.673366951635038,B3,0.0,0.0
51,3406,A2,36,3.74328565686948,4.716111979122331,A2,0.0,0.0
52,5246,B2,46,1.8189373949132264,2.6290214392984312,B2,0.0,0.0
53,4668,B2,29,1.488792018135096,3.7392777727401043,B2,0.0,0.0
54,2409,A3,33,1.4309230793999903,7.166871891718529,A2,0.0,0.0
55,94409,E,32,0.0375900597577142,1.4935973308564552,E2,0.0,0.0
56,1671,C,30,3.6050701972973695,5.570030120279885,C,0.0,0.0
57,2415,A2,42,3.0135270303054096,0.33843659817282523,A2,0.0,0.0
58,1002,F,8,3.8015859344585445,10.86696561713758,F,100.0,20.7
59,3611,B2,7,3.424363276591576,2.932772229831806,CB,0.0,0.0
60,35579,E2,27,0.24937501571076556,1.3364598324509598,E2,0.0,0.0
61,5096,B2,28,3.5904610819089844,1.9759174763163707,B1,0.0,0.0
62,7867,S,15,3.0270680859982755,1.3586175973668646,S,0.0,0.0
63,2620,S,19,2.6314538634816147,4.526326405678223,B2,0.0,0.0
64,5977,B1,34,2.6386341399394446,1.527226579285493,A2,0.0,0.0
65,3383,S,41,0.3224723604527081,5.758534017085119,S,0.0,0.0
66,1595,B3,11,2.5704382116039604,5.505647598978873,B2,0.0,0.0
67,4287,A2,42,2.102353213896382,1.791385852402359,A2,0.0,0.0
68,2915,A2,36,5.192708235309287,1.647421973507126,B1,0.0,0.0
69,4734,B1,40,2.1226027138465517,3.331691174370349,B1,0.0,0.0
