new,n,letter,old,dist,margin,runner_letter,runner
0,9587,CB,47,1.8164031062181487,3.6451506596977574,C,6
1,27524,E1,1,0.07584987306679067,2.4741613869090293,E1,49
2,6024,A2,22,3.6423004925281885,1.1214778954263922,B2,34
3,2706,A2,20,4.99249974733538,1.8137012526020584,A2,0
4,33696,E,32,0.6537690568004727,1.3386495678348345,E2,4
5,15356,S,15,1.4292967887070838,2.253565932407515,S,9
6,3377,C,12,2.4210058949251154,6.203097553071056,C,44
7,11144,B2,34,2.2096272080489037,1.3763409848626385,B2,10
8,4877,A2,20,4.212609021373357,2.1260208698065712,A2,5
9,3175,B3,11,6.143306605519325,0.7443593906958759,B3,24
10,5447,BS,43,4.505012559906277,0.15170043794806887,BS,3
11,15864,S,37,0.3160098431240626,5.302093283253537,S,41
12,2913,A1,16,1.1835526184773084,5.8919767042247315,A1,31
13,5723,B2,38,3.585561829087284,1.0077516326181883,B3,11
14,4258,A12,35,5.373185619091285,0.971596155498343,A2,5
15,9300,B2,10,4.0276523260305845,0.09054914405756165,B2,46
16,4645,BS,3,2.246395974477829,4.09714493266546,S,25
17,2306,F,8,3.2579606646098718,5.270088991247324,F,45
18,4750,S,19,0.7343395440126991,6.997358486362488,B2,29
19,3034,C,30,3.9888067044801243,1.023422095437411,C,6
20,13518,E0,21,0.2013787406841978,4.010862559575395,E1,49
21,7898,B2,46,3.0996115032360376,1.3335759008262182,B2,7
22,58708,E2,27,0.4165946889041586,0.6514092096743894,E2,4
23,7434,S,25,0.6125208293721301,3.5024968670583556,S,15
24,8132,A2,39,2.1295205872570167,0.35060103291795963,A2,22
25,4516,C,44,4.239830616766256,3.177568398434781,C,12
26,71799,E,32,0.37124429030554645,0.9864832328843267,E2,4
27,4610,A2,5,3.2160835154569396,2.6533156700137512,A1,16
28,2854,A2,5,4.7037078091926094,0.9600306233259781,A3,33
29,3761,B1,48,2.0195572423067953,3.6839673636147956,B1,2
30,3500,A2,0,7.144915615635014,0.913274399122173,B3,24
31,22157,E1,49,0.18150310398743455,2.6086316678638117,E1,1
32,7070,C,6,1.1596092530221573,4.456672136768132,CB,47
33,28020,E,18,0.13285137560360943,2.700081464647298,E,32
34,4460,BS,43,2.7071237210773536,3.3079809129106623,B2,23
35,7137,CB,26,1.3127498430049966,4.383230927946239,B2,7
36,7522,B1,40,1.0838332941032673,2.788833086641535,B1,2
37,3081,C,30,2.2885335254687225,3.7234491252865447,C,6
38,2593,BS,17,3.389632562032806,4.30818623679308,S,25
39,6707,S,15,3.964544299918517,1.709824529867848,S,25
40,5955,A2,36,5.5080557989798935,0.29093602818792963,B2,34
41,2853,A1,31,2.8639663551686216,2.7363975523133335,A1,16
42,4429,A2,36,5.601907193721483,1.5622639093131436,A2,20
43,5385,B2,13,5.023782620897856,0.34312385257426037,A2,39
44,9821,B2,46,1.9303498210832322,2.4273886436250267,B2,29
45,7216,S,9,0.45492906410746187,4.2318054319431795,S,15
46,3545,A3,33,1.5502172670129957,5.752402677604979,A2,20
47,1406,A1,31,4.4877436162817,4.117960535262443,A1,16
48,3435,S,41,3.181286363914118,1.3410911776121934,E2,27
49,4772,A2,42,5.30458581043314,0.24024163359090345,B2,13
