label,name,pct,peak_month,mean_transit_10N,mean_lat_last,mean_lon_last
0,A1,1.1,Nov,53.2,24.54,-84.98
1,A2,8.1,Oct,54.8,17.18,-78.25
2,A3,1.0,Nov,56.0,11.31,-81.57
3,B1,2.5,Jun,47.8,21.52,-67.43
4,B2,12.7,Sep,47.5,16.38,-67.87
5,BS,3.8,Apr,122.3,15.42,-65.87
6,C,3.4,Aug,60.2,13.32,-54.13
7,CB,2.5,Aug,44.8,15.72,-61.0
8,E0,3.2,May,63.6,5.79,-53.29
9,E1,9.9,May,79.8,4.1,-51.23
10,E2,38.6,Mar,85.8,1.52,-49.81
11,F,1.2,Jul,89.8,10.34,-38.03
12,S,8.2,Dec,159.7,6.65,-56.89
13,S1,3.9,Feb,146.3,10.15,-61.58
