weights,K,n_pure,F_recall,F_prec,sep,min_n,secs
current,50,1,0.4749482401656315,0.99479618386817,5.8374556309971775,1406,4.359099864959717
current,75,2,0.5372670807453416,0.9973097617217525,5.081645896364325,940,4.280134916305542
current,100,2,0.5645962732919255,1.0,4.579402582106477,1032,4.5882368087768555
current,150,2,0.5956521739130435,1.0,4.094786307677973,456,5.01967978477478
config,50,2,0.9062111801242236,0.9226391231028668,5.721156831286139,2027,4.270668029785156
config,75,2,0.5113871635610766,0.9991909385113269,5.148146118889982,1093,4.809677362442017
config,100,2,0.586128364389234,1.0,4.637579993600199,1178,4.989650011062622
config,150,2,0.7544513457556936,0.9975362715576239,3.714744117308087,579,5.795039176940918
equal,50,1,0.40973084886128364,0.9758382642998028,5.61526628843499,2028,4.600136756896973
equal,75,2,0.5142857142857142,0.9642857142857143,4.883720776051707,1011,4.994915246963501
equal,100,2,0.5780538302277433,0.9953654188948307,4.157603978428758,1327,5.204322338104248
equal,150,3,0.6167701863354037,0.9943257676902537,3.74589660636614,821,5.297778129577637
endpoint,50,1,0.453416149068323,0.9909502262443439,6.230562365931177,2133,4.9921040534973145
endpoint,75,2,0.6062111801242236,0.99153403318659,5.42563213900066,1227,4.682633638381958
endpoint,100,3,0.7664596273291926,0.9675901725039205,4.990757400775646,921,5.214382886886597
endpoint,150,2,0.7364389233954451,0.9875069405885619,4.154638225781497,822,5.08313775062561
retrofl,50,2,0.9405797101449276,0.8622129436325678,5.0244368140294435,2208,4.894772529602051
retrofl,75,2,0.43871635610766047,1.0,4.576716639166196,966,4.196991205215454
retrofl,100,2,0.7153209109730849,0.9437312209778749,3.8740903832286815,939,3.9917774200439453
retrofl,150,2,0.6320910973084886,0.9915556999025658,3.4311860653361843,938,7.418482542037964
U_strong,50,2,0.9182194616977226,0.9036267318663407,5.638618884440718,2147,5.351944446563721
U_strong,75,2,0.6265010351966873,0.997692054071876,4.782683069155738,1468,4.585505962371826
U_strong,100,2,0.5293995859213251,0.998828125,4.378712980038737,942,6.3133909702301025
U_strong,150,2,0.5095238095238095,0.9987824675324676,3.906366773948865,707,5.601696491241455
