label,name,pct,peak_month,mean_transit_10N,mean_lat_last,mean_lon_last
0,A,8.3,Mar,83.6,11.61,-62.32
1,B,44.3,May,58.3,5.25,-53.82
2,C,3.0,Nov,48.7,14.77,-69.32
3,D,5.4,Aug,51.1,13.0,-60.71
4,E,7.5,Sep,48.6,11.29,-60.48
5,F,20.2,Jan,108.2,4.18,-52.41
6,,0.8,Nov,68.4,10.69,-61.37
7,,2.0,Aug,45.5,14.57,-63.94
8,,1.0,Oct,59.0,15.09,-78.54
9,,0.3,Jul,59.8,8.59,-43.86
10,,1.5,Jun,81.6,6.05,-53.53
11,,1.7,Jan,165.0,0.35,-48.63
12,,1.5,Aug,41.2,14.15,-60.55
13,,0.6,Mar,90.2,16.35,-65.44
14,,0.7,Nov,110.4,10.17,-61.36
15,,1.2,Jun,48.9,17.9,-68.65
