label,name,pct,peak_month,mean_transit_10N,mean_lat_100,mean_lon_100
0,,2.1,Aug,50.0,10.65,-53.47
1,,30.3,Mar,141.3,1.82,-49.87
2,,2.6,Oct,43.4,15.47,-67.85
3,,6.8,Dec,135.4,6.07,-55.13
4,,3.9,Sep,42.4,14.63,-59.61
5,,4.9,Apr,145.3,5.98,-54.12
6,,2.2,Nov,50.2,14.95,-75.64
7,,0.5,Jul,108.6,8.21,-35.77
8,,2.3,Oct,60.7,14.34,-70.61
9,,0.9,Jul,92.8,8.11,-42.84
10,,4.0,Sep,65.8,10.61,-58.48
11,,1.4,Apr,84.7,12.41,-61.05
12,,9.6,Dec,157.4,0.43,-49.57
13,,14.0,May,166.8,4.23,-51.43
14,,2.4,Oct,61.6,13.81,-65.52
15,,3.2,Jul,39.9,15.76,-63.51
16,,1.2,Aug,48.9,12.73,-51.9
17,,3.1,Aug,42.2,13.31,-56.55
18,,1.1,Jul,65.1,10.1,-47.59
19,,3.4,Oct,53.8,12.71,-62.07
